step,T,C,coolant_flow,feed_rate
103,1536416.7005348671,0.036466497325672,0.2,0.8
104,1549381.7142132039,0.03646642893398907,0.2,0.8
105,1562346.7276642723,0.03646636167864757,0.2,0.8
106,1575311.7408936897,0.036466295531560174,0.2,0.8
107,1588276.7539068903,0.03646623046555765,0.2,0.8
108,1601241.7667091314,0.036466166454351606,0.2,0.8
109,1614206.7793055018,0.03646610347249918,0.2,0.8
110,1627171.7917009278,0.03646604149536922,0.2,0.8
111,1640136.8039001797,0.036465980499110213,0.2,0.8
112,1653101.8159078779,0.036465920460619694,0.2,0.8
113,1666066.827728499,0.03646586135751503,0.2,0.8
114,1679031.8393663808,0.036465803168105645,0.2,0.8
115,1691996.8508257286,0.036465745871366445,0.2,0.8
116,1704961.8621106194,0.036465689446912516,0.2,0.8
117,1717926.873225007,0.03646563387497491,0.2,0.8
118,1730891.8841727264,0.03646557913637758,0.2,0.8
119,1743856.8949574989,0.03646552521251532,0.2,0.8
120,1756821.9055829353,0.03646547208533267,0.2,0.8
121,1769786.9160525412,0.036465419737303745,0.2,0.8
122,1782751.9263697192,0.03646536815141299,0.2,0.8
123,1795716.9365377745,0.03646531731113674,0.2,0.8
124,1808681.9465599167,0.03646526720042555,0.2,0.8
125,1821646.9564392644,0.03646521780368728,0.2,0.8
126,1834611.9661788475,0.036465169105771016,0.2,0.8
127,1847576.9757816114,0.03646512109195146,0.2,0.8
128,1860541.9852504188,0.03646507374791419,0.2,0.8
129,1873506.9945880533,0.036465027059741334,0.2,0.8
130,1886472.003797222,0.03646498101389801,0.2,0.8
131,1899437.012880558,0.03646493559721918,0.2,0.8
132,1912402.0218406222,0.03646489079689717,0.2,0.8
133,1925367.0306799079,0.03646484660046958,0.2,0.8
134,1938332.0394008402,0.036464802995807705,0.2,0.8
135,1951297.0480057807,0.036464759971105515,0.2,0.8
136,1964262.0564970279,0.03646471751486894,0.2,0.8
137,1977227.0648768204,0.03646467561590563,0.2,0.8
138,1990192.0731473386,0.03646463426331514,0.2,0.8
139,2003157.0813107057,0.036464593446479496,0.2,0.8
140,2016122.0893689909,0.03646455315505406,0.2,0.8
141,2029087.09732421,0.0364645133789588,0.2,0.8
142,2042052.1051783278,0.03646447410836989,0.2,0.8
143,2055017.1129332595,0.03646443533371167,0.2,0.8
144,2067982.1205908721,0.03646439704564877,0.2,0.8
145,2080947.128152986,0.036464359235078674,0.2,0.8
146,2093912.135621377,0.036464321893124485,0.2,0.8
147,2106877.142997776,0.036464285011128014,0.2,0.8
148,2119842.1502838735,0.036464248580643024,0.2,0.8
149,2132807.1574813165,0.036464212593428844,0.2,0.8
150,2145772.1645917133,0.03646417704144411,0.2,0.8
151,2158737.171616634,0.03646414191684082,0.2,0.8
152,2171702.1785576106,0.03646410721195848,0.2,0.8
153,2184667.1854161387,0.03646407291931864,0.2,0.8
154,2197632.1921936786,0.03646403903161943,0.2,0.8
155,2210597.1988916565,0.03646400554173044,0.2,0.8
156,2223562.2055114647,0.03646397244268766,0.2,0.8
157,2236527.2120544645,0.0364639397276887,0.2,0.8
158,2249492.2185219843,0.03646390739008813,0.2,0.8
159,2262457.2249153233,0.03646387542339294,0.2,0.8
160,2275422.23123575,0.036463843821258224,0.2,0.8
161,2288387.237484505,0.03646381257748296,0.2,0.8
162,2301352.2436628,0.03646378168600602,0.2,0.8
163,2314317.249771821,0.0364637511409021,0.2,0.8
164,2327282.255812726,0.03646372093637814,0.2,0.8
165,2340247.2617866476,0.036463691066769485,0.2,0.8
166,2353212.267694694,0.036463661526536406,0.2,0.8
167,2366177.273537949,0.03646363231026073,0.2,0.8
168,2379142.2793174726,0.036463603412642404,0.2,0.8
169,2392107.2850343017,0.03646357482849641,0.2,0.8
170,2405072.290689451,0.036463546552749596,0.2,0.8
171,2418037.296283914,0.0364635185804377,0.2,0.8
172,2431002.301818661,0.03646349090670244,0.2,0.8
173,2443967.3072946435,0.03646346352678867,0.2,0.8
174,2456932.312712793,0.036463436436041725,0.2,0.8
175,2469897.31807402,0.036463409629904714,0.2,0.8
176,2482862.3233792176,0.036463383103915996,0.2,0.8
177,2495827.3286292595,0.036463356853706705,0.2,0.8
178,2508792.333825001,0.036463330874998354,0.2,0.8
179,2521757.3389672805,0.036463305163600496,0.2,0.8
180,2534722.344056919,0.03646327971540848,0.2,0.8
181,2547687.3490947206,0.036463254526401256,0.2,0.8
182,2560652.354081473,0.03646322959263928,0.2,0.8
183,2573617.359017948,0.03646320491026244,0.2,0.8
184,2586582.363904903,0.03646318047548808,0.2,0.8
185,2599547.368743079,0.03646315628460903,0.2,0.8
186,2612512.3735332023,0.036463132333991774,0.2,0.8
187,2625477.378275986,0.036463108620074625,0.2,0.8
188,2638442.3829721278,0.036463085139365935,0.2,0.8
189,2651407.3876223126,0.0364630618884424,0.2,0.8
190,2664372.3922272115,0.03646303886394739,0.2,0.8
191,2677337.396787483,0.03646301606258934,0.2,0.8
192,2690302.401303773,0.036462993481140155,0.2,0.8
193,2703267.405776714,0.03646297111643374,0.2,0.8
194,2716232.410206928,0.03646294896536447,0.2,0.8
195,2729197.4145950237,0.03646292702488577,0.2,0.8
196,2742162.4189415993,0.03646290529200872,0.2,0.8
197,2755127.423247241,0.03646288376380069,0.2,0.8
198,2768092.427512524,0.03646286243738406,0.2,0.8
199,2781057.4317380143,0.036462841309934844,0.2,0.8
200,2794022.435924265,0.03646282037868156,0.2,0.8
201,2806987.4400718207,0.03646279964090393,0.2,0.8
202,2819952.444181215,0.03646277909393174,0.2,0.8
203,2832917.4482529727,0.03646275873514371,0.2,0.8
204,2845882.452287608,0.036462738561966315,0.2,0.8
205,2858847.4562856266,0.036462718571872776,0.2,0.8
206,2871812.4602475245,0.03646269876238196,0.2,0.8
207,2884777.4641737896,0.03646267913105736,0.2,0.8
208,2897742.4680649,0.036462659675506104,0.2,0.8
209,2910707.4719213257,0.03646264039337799,0.2,0.8
210,2923672.4757435285,0.03646262128236451,0.2,0.8
211,2936637.479531962,0.03646260234019794,0.2,0.8
212,2949602.4832870713,0.036462583564650486,0.2,0.8
213,2962567.487009295,0.03646256495353336,0.2,0.8
214,2975532.490699062,0.03646254650469592,0.2,0.8
215,2988497.494356796,0.03646252821602489,0.2,0.8
216,3001462.497982912,0.03646251008544353,0.2,0.8
217,3014427.5015778188,0.03646249211091084,0.2,0.8
218,3027392.5051419167,0.03646247429042081,0.2,0.8
219,3040357.508675601,0.03646245662200165,0.2,0.8
220,3053322.5121792583,0.03646243910371509,0.2,0.8
221,3066287.5156532703,0.03646242173365567,0.2,0.8
222,3079252.5190980113,0.03646240450995003,0.2,0.8
223,3092217.52251385,0.03646238743075625,0.2,0.8
224,3105182.5259011486,0.03646237049426318,0.2,0.8
225,3118147.5292602633,0.0364623536986898,0.2,0.8
226,3131112.532591544,0.03646233704228466,0.2,0.8
227,3144077.535895336,0.03646232052332514,0.2,0.8
228,3157042.5391719774,0.03646230414011698,0.2,0.8
229,3170007.542421802,0.03646228789099364,0.2,0.8
230,3182972.5456451373,0.036462271774315755,0.2,0.8
231,3195937.5488423062,0.03646225578847055,0.2,0.8
232,3208902.5520136263,0.03646223993187137,0.2,0.8
233,3221867.555159409,0.03646222420295708,0.2,0.8
234,3234832.5582799623,0.0364622086001916,0.2,0.8
235,3247797.561375588,0.03646219312206339,0.2,0.8
236,3260762.564446584,0.036462177767084956,0.2,0.8
237,3273727.567493242,0.03646216253379238,0.2,0.8
238,3286692.570515852,0.03646214742074487,0.2,0.8
239,3299657.573514696,0.03646213242652427,0.2,0.8
240,3312622.5764900544,0.03646211754973466,0.2,0.8
241,3325587.5794422007,0.03646210278900188,0.2,0.8
242,3338552.5823714067,0.03646208814297314,0.2,0.8
243,3351517.585277938,0.03646207361031657,0.2,0.8
244,3364482.5881620566,0.036462059189720876,0.2,0.8
245,3377447.5910240216,0.03646204487989489,0.2,0.8
246,3390412.593864087,0.0364620306795672,0.2,0.8
247,3403377.5966825034,0.03646201658748577,0.2,0.8
248,3416342.599479517,0.03646200260241761,0.2,0.8
249,3429307.602255371,0.03646198872314835,0.2,0.8
